MONTH,East South Central-East North Central,Middle Atlantic-East North Central,Mountain West-East North Central,New England-East North Central,Pacific West-East North Central,South Atlantic-East North Central,West North Central-East North Central,West South Central-East North Central,East North Central-East South Central,Middle Atlantic-East South Central,Mountain West-East South Central,New England-East South Central,Pacific West-East South Central,South Atlantic-East South Central,West North Central-East South Central,West South Central-East South Central,East North Central-Middle Atlantic,East South Central-Middle Atlantic,Mountain West-Middle Atlantic,New England-Middle Atlantic,Pacific West-Middle Atlantic,South Atlantic-Middle Atlantic,West North Central-Middle Atlantic,West South Central-Middle Atlantic,East North Central-Mountain West,East South Central-Mountain West,Middle Atlantic-Mountain West,New England-Mountain West,Pacific West-Mountain West,South Atlantic-Mountain West,West North Central-Mountain West,West South Central-Mountain West,East North Central-New England,East South Central-New England,Middle Atlantic-New England,Mountain West-New England,Pacific West-New England,South Atlantic-New England,West North Central-New England,West South Central-New England,East North Central-Pacific West,East South Central-Pacific West,Middle Atlantic-Pacific West,Mountain West-Pacific West,New England-Pacific West,South Atlantic-Pacific West,West North Central-Pacific West,West South Central-Pacific West,East North Central-South Atlantic,East South Central-South Atlantic,Middle Atlantic-South Atlantic,Mountain West-South Atlantic,New England-South Atlantic,Pacific West-South Atlantic,West North Central-South Atlantic,West South Central-South Atlantic,East North Central-West North Central,East South Central-West North Central,Middle Atlantic-West North Central,Mountain West-West North Central,New England-West North Central,Pacific West-West North Central,South Atlantic-West North Central,West South Central-West North Central,East North Central-West South Central,East South Central-West South Central,Middle Atlantic-West South Central,Mountain West-West South Central,New England-West South Central,Pacific West-West South Central,South Atlantic-West South Central,West North Central-West South Central
1,1.907(9.966e-05),0.494(0.13572698),0.184(0.48996763),-0.212(0.44484534),-1.59(7.374e-05),0.213(0.45649362),0.807(0.02786852),1.794(0.00025982),-1.907(9.966e-05),-1.413(0.00141426),-1.723(0.0001896),-2.119(2.721e-05),-3.497(1.2e-06),-1.694(0.00021145),-1.1(0.01048214),-0.113(0.79022485),-0.494(0.13572698),1.413(0.00141426),-0.31(0.24577042),-0.706(0.01887054),-2.084(7.15e-06),-0.281(0.3217716),0.313(0.35782609),1.3(0.00347319),-0.184(0.48996763),1.723(0.0001896),0.31(0.24577042),-0.396(0.06271104),-1.774(8e-08),0.029(0.89237943),0.623(0.04458692),1.61(0.00049252),0.212(0.44484534),2.119(2.721e-05),0.706(0.01887054),0.396(0.06271104),-1.377(5.63e-06),0.425(0.07412682),1.019(0.00358492),2.007(7.394e-05),1.59(7.374e-05),3.497(1.2e-06),2.084(7.15e-06),1.774(8e-08),1.377(5.63e-06),1.802(1.28e-06),2.396(6.4e-06),3.384(2.44e-06),-0.213(0.45649362),1.694(0.00021145),0.281(0.3217716),-0.029(0.89237943),-0.425(0.07412682),-1.802(1.28e-06),0.594(0.06443722),1.582(0.00056689),-0.807(0.02786852),1.1(0.01048214),-0.313(0.35782609),-0.623(0.04458692),-1.019(0.00358492),-2.396(6.4e-06),-0.594(0.06443722),0.988(0.0225881),-1.794(0.00025982),0.113(0.79022485),-1.3(0.00347319),-1.61(0.00049252),-2.007(7.394e-05),-3.384(2.44e-06),-1.582(0.00056689),-0.988(0.0225881)
2,2.403(0.00033518),0.219(0.56102189),-0.211(0.50675597),-0.632(0.06400666),-2.147(2.777e-05),0.172(0.63901941),0.845(0.05835716),1.662(0.00170892),-2.403(0.00033518),-2.184(0.0007291),-2.614(0.0001769),-3.035(4.974e-05),-4.549(4.34e-06),-2.23(0.00059835),-1.558(0.01058659),-0.741(0.19798683),-0.219(0.56102189),2.184(0.0007291),-0.43(0.17776599),-0.851(0.01494773),-2.365(9.66e-06),-0.046(0.89823951),0.626(0.14505393),1.444(0.00447718),0.211(0.50675597),2.614(0.0001769),0.43(0.17776599),-0.421(0.08940781),-1.935(4.9e-07),0.384(0.21195976),1.056(0.01192212),1.873(0.00043479),0.632(0.06400666),3.035(4.974e-05),0.851(0.01494773),0.421(0.08940781),-1.515(7.33e-06),0.805(0.01689788),1.477(0.00140928),2.294(7.749e-05),2.147(2.777e-05),4.549(4.34e-06),2.365(9.66e-06),1.935(4.9e-07),1.515(7.33e-06),2.319(7.71e-06),2.991(9.71e-06),3.809(3.04e-06),-0.172(0.63901941),2.23(0.00059835),0.046(0.89823951),-0.384(0.21195976),-0.805(0.01689788),-2.319(7.71e-06),0.672(0.11444447),1.49(0.00334308),-0.845(0.05835716),1.558(0.01058659),-0.626(0.14505393),-1.056(0.01192212),-1.477(0.00140928),-2.991(9.71e-06),-0.672(0.11444447),0.817(0.10148797),-1.662(0.00170892),0.741(0.19798683),-1.444(0.00447718),-1.873(0.00043479),-2.294(7.749e-05),-3.809(3.04e-06),-1.49(0.00334308),-0.817(0.10148797)
3,1.912(0.00086388),0.438(0.15589438),-0.66(0.02705819),-0.453(0.14588173),-2.344(3.83e-06),0.13(0.6832645),0.452(0.23771467),0.779(0.02805703),-1.912(0.00086388),-1.474(0.00480448),-2.571(8.83e-05),-2.364(0.00013932),-4.255(2.82e-06),-1.781(0.0014111),-1.459(0.00809372),-1.133(0.02407045),-0.438(0.15589438),1.474(0.00480448),-1.097(0.00019759),-0.89(0.00336505),-2.781(6e-08),-0.307(0.28793552),0.015(0.96611292),0.342(0.2560477),0.66(0.02705819),2.571(8.83e-05),1.097(0.00019759),0.207(0.3722841),-1.684(9e-08),0.79(0.00712676),1.112(0.00460741),1.439(0.00010443),0.453(0.14588173),2.364(0.00013932),0.89(0.00336505),-0.207(0.3722841),-1.891(2.65e-06),0.583(0.05544716),0.905(0.01932306),1.232(0.0007017),2.344(3.83e-06),4.255(2.82e-06),2.781(6e-08),1.684(9e-08),1.891(2.65e-06),2.474(1.09e-06),2.796(6.78e-06),3.123(2.7e-07),-0.13(0.6832645),1.781(0.0014111),0.307(0.28793552),-0.79(0.00712676),-0.583(0.05544716),-2.474(1.09e-06),0.322(0.38187799),0.649(0.05280725),-0.452(0.23771467),1.459(0.00809372),-0.015(0.96611292),-1.112(0.00460741),-0.905(0.01932306),-2.796(6.78e-06),-0.322(0.38187799),0.327(0.38477015),-0.779(0.02805703),1.133(0.02407045),-0.342(0.2560477),-1.439(0.00010443),-1.232(0.0007017),-3.123(2.7e-07),-0.649(0.05280725),-0.327(0.38477015)
4,1.644(2.904e-05),0.587(0.01162313),-0.144(0.33521148),-0.041(0.83068014),-1.606(1.5e-07),0.3(0.09894574),0.56(0.02347438),1.471(6.288e-05),-1.644(2.904e-05),-1.057(0.0018391),-1.788(2.061e-05),-1.685(2.188e-05),-3.25(2.8e-07),-1.344(0.00018465),-1.085(0.00192538),-0.173(0.58815216),-0.587(0.01162313),1.057(0.0018391),-0.731(0.00193337),-0.628(0.01176818),-2.193(3.6e-07),-0.287(0.18240381),-0.028(0.91243979),0.884(0.00567337),0.144(0.33521148),1.788(2.061e-05),0.731(0.00193337),0.103(0.55052259),-1.462(0),0.444(0.00920907),0.704(0.00501935),1.615(3.742e-05),0.041(0.83068014),1.685(2.188e-05),0.628(0.01176818),-0.103(0.55052259),-1.565(2.04e-06),0.341(0.09402478),0.601(0.02196135),1.512(5.063e-05),1.606(1.5e-07),3.25(2.8e-07),2.193(3.6e-07),1.462(0),1.565(2.04e-06),1.906(4e-08),2.166(1.25e-06),3.077(3.4e-07),-0.3(0.09894574),1.344(0.00018465),0.287(0.18240381),-0.444(0.00920907),-0.341(0.09402478),-1.906(4e-08),0.26(0.25999002),1.171(0.0004731),-0.56(0.02347438),1.085(0.00192538),0.028(0.91243979),-0.704(0.00501935),-0.601(0.02196135),-2.166(1.25e-06),-0.26(0.25999002),0.911(0.0058754),-1.471(6.288e-05),0.173(0.58815216),-0.884(0.00567337),-1.615(3.742e-05),-1.512(5.063e-05),-3.077(3.4e-07),-1.171(0.0004731),-0.911(0.0058754)
5,1.535(0.00022349),0.566(0.01311587),0.044(0.78205625),-0.124(0.54239347),-1.402(2.4e-06),0.572(0.00634248),0.375(0.10465237),1.473(5.912e-05),-1.535(0.00022349),-0.969(0.00698532),-1.49(0.00035658),-1.658(0.00011246),-2.937(2.44e-06),-0.963(0.00644123),-1.16(0.00237023),-0.062(0.85895868),-0.566(0.01311587),0.969(0.00698532),-0.521(0.00876303),-0.689(0.00415273),-1.968(2.5e-07),0.007(0.97295236),-0.191(0.40734248),0.908(0.00384426),-0.044(0.78205625),1.49(0.00035658),0.521(0.00876303),-0.168(0.31873743),-1.446(0),0.528(0.00219349),0.33(0.09981112),1.429(0.00010387),0.124(0.54239347),1.658(0.00011246),0.689(0.00415273),0.168(0.31873743),-1.278(8.21e-06),0.696(0.00186413),0.498(0.03868341),1.597(2.677e-05),1.402(2.4e-06),2.937(2.44e-06),1.968(2.5e-07),1.446(0),1.278(8.21e-06),1.974(1e-08),1.777(2.38e-06),2.875(5.1e-07),-0.572(0.00634248),0.963(0.00644123),-0.007(0.97295236),-0.528(0.00219349),-0.696(0.00186413),-1.974(1e-08),-0.197(0.35257689),0.901(0.00320277),-0.375(0.10465237),1.16(0.00237023),0.191(0.40734248),-0.33(0.09981112),-0.498(0.03868341),-1.777(2.38e-06),0.197(0.35257689),1.098(0.00114686),-1.473(5.912e-05),0.062(0.85895868),-0.908(0.00384426),-1.429(0.00010387),-1.597(2.677e-05),-2.875(5.1e-07),-0.901(0.00320277),-1.098(0.00114686)
6,0.703(0.00043174),0.624(0.00042238),0.119(0.22833815),0.18(0.18653702),-0.729(6.86e-06),0.436(0.0019104),0.307(0.04484197),1.051(6.879e-05),-0.703(0.00043174),-0.079(0.64664472),-0.584(0.00158333),-0.523(0.00555912),-1.432(1.26e-06),-0.267(0.10115901),-0.396(0.033122),0.348(0.10622921),-0.624(0.00042238),0.079(0.64664472),-0.505(0.00149142),-0.444(0.00857612),-1.353(3.8e-07),-0.188(0.19053709),-0.317(0.059703),0.427(0.04287206),-0.119(0.22833815),0.584(0.00158333),0.505(0.00149142),0.061(0.5824506),-0.848(0),0.317(0.00473884),0.187(0.14542342),0.932(0.00027809),-0.18(0.18653702),0.523(0.00555912),0.444(0.00857612),-0.061(0.5824506),-0.909(4.92e-06),0.256(0.06423571),0.127(0.40932838),0.871(0.00039266),0.729(6.86e-06),1.432(1.26e-06),1.353(3.8e-07),0.848(0),0.909(4.92e-06),1.165(3e-08),1.036(5.35e-06),1.78(1.64e-06),-0.436(0.0019104),0.267(0.10115901),0.188(0.19053709),-0.317(0.00473884),-0.256(0.06423571),-1.165(3e-08),-0.13(0.36399357),0.615(0.00467369),-0.307(0.04484197),0.396(0.033122),0.317(0.059703),-0.187(0.14542342),-0.127(0.40932838),-1.036(5.35e-06),0.13(0.36399357),0.744(0.00166458),-1.051(6.879e-05),-0.348(0.10622921),-0.427(0.04287206),-0.932(0.00027809),-0.871(0.00039266),-1.78(1.64e-06),-0.615(0.00467369),-0.744(0.00166458)
7,0.607(6.61e-05),0.222(0.00721174),0.183(0.00804344),-0.089(0.19255167),-0.519(1.1e-06),0.315(0.00022063),0.339(0.00349054),0.814(1.752e-05),-0.607(6.61e-05),-0.385(0.00283532),-0.424(0.00135862),-0.696(2.141e-05),-1.126(6.1e-07),-0.292(0.0134681),-0.268(0.04289382),0.207(0.15573527),-0.222(0.00721174),0.385(0.00283532),-0.04(0.50957817),-0.312(0.00024953),-0.741(3e-08),0.093(0.18075408),0.117(0.24601688),0.591(0.00030209),-0.183(0.00804344),0.424(0.00135862),0.04(0.50957817),-0.272(7.777e-05),-0.702(0),0.132(0.01914154),0.156(0.09947727),0.631(0.0002391),0.089(0.19255167),0.696(2.141e-05),0.312(0.00024953),0.272(7.777e-05),-0.43(5.4e-07),0.404(3.4e-06),0.428(0.0005321),0.903(8.96e-06),0.519(1.1e-06),1.126(6.1e-07),0.741(3e-08),0.702(0),0.43(5.4e-07),0.834(0),0.858(2.1e-06),1.333(6.2e-07),-0.315(0.00022063),0.292(0.0134681),-0.093(0.18075408),-0.132(0.01914154),-0.404(3.4e-06),-0.834(0),0.024(0.79685585),0.499(0.00114611),-0.339(0.00349054),0.268(0.04289382),-0.117(0.24601688),-0.156(0.09947727),-0.428(0.0005321),-0.858(2.1e-06),-0.024(0.79685585),0.475(0.00270619),-0.814(1.752e-05),-0.207(0.15573527),-0.591(0.00030209),-0.631(0.0002391),-0.903(8.96e-06),-1.333(6.2e-07),-0.499(0.00114611),-0.475(0.00270619)
8,1.567(2.783e-05),0.037(0.61770294),0.366(0.00010187),-0.211(0.01124818),-0.538(2.51e-06),0.483(3.499e-05),0.388(0.00182157),0.993(9.86e-06),-1.567(2.783e-05),-1.529(3.738e-05),-1.201(0.00024371),-1.778(1.122e-05),-2.105(4.56e-06),-1.084(0.00043951),-1.179(0.0002023),-0.574(0.02723028),-0.037(0.61770294),1.529(3.738e-05),0.328(0.00012409),-0.248(0.00232024),-0.576(2.6e-07),0.445(5.779e-05),0.35(0.00331217),0.956(1.677e-05),-0.366(0.00010187),1.201(0.00024371),-0.328(0.00012409),-0.577(1.6e-07),-0.904(0),0.117(0.15148472),0.022(0.81940089),0.627(0.000577),0.211(0.01124818),1.778(1.122e-05),0.248(0.00232024),0.577(1.6e-07),-0.327(6.805e-05),0.694(3.5e-07),0.599(3.73e-05),1.204(1.95e-06),0.538(2.51e-06),2.105(4.56e-06),0.576(2.6e-07),0.904(0),0.327(6.805e-05),1.021(3e-08),0.926(1.86e-06),1.531(7.8e-07),-0.483(3.499e-05),1.084(0.00043951),-0.445(5.779e-05),-0.117(0.15148472),-0.694(3.5e-07),-1.021(3e-08),-0.095(0.38297783),0.51(0.00261115),-0.388(0.00182157),1.179(0.0002023),-0.35(0.00331217),-0.022(0.81940089),-0.599(3.73e-05),-0.926(1.86e-06),0.095(0.38297783),0.605(0.00094747),-0.993(9.86e-06),0.574(0.02723028),-0.956(1.677e-05),-0.627(0.000577),-1.204(1.95e-06),-1.531(7.8e-07),-0.51(0.00261115),-0.605(0.00094747)
9,1.797(7.78e-06),-0.076(0.39312614),0.319(0.00134092),-0.406(0.00016966),-0.777(4.9e-07),0.553(1.021e-05),0.435(0.00369648),1.697(1.48e-06),-1.797(7.78e-06),-1.873(6.58e-06),-1.478(5.234e-05),-2.202(2.05e-06),-2.574(9.8e-07),-1.244(0.00017469),-1.362(5.485e-05),-0.099(0.70448299),0.076(0.39312614),1.873(6.58e-06),0.395(7.396e-05),-0.33(0.00045676),-0.701(2.3e-07),0.629(7.9e-07),0.511(0.00103489),1.773(1.33e-06),-0.319(0.00134092),1.478(5.234e-05),-0.395(7.396e-05),-0.724(1e-08),-1.096(0),0.234(0.00651908),0.116(0.33513213),1.379(1.559e-05),0.406(0.00016966),2.202(2.05e-06),0.33(0.00045676),0.724(1e-08),-0.372(1.972e-05),0.958(0),0.841(1.462e-05),2.103(3.9e-07),0.777(4.9e-07),2.574(9.8e-07),0.701(2.3e-07),1.096(0),0.372(1.972e-05),1.33(0),1.212(1.58e-06),2.474(2.4e-07),-0.553(1.021e-05),1.244(0.00017469),-0.629(7.9e-07),-0.234(0.00651908),-0.958(0),-1.33(0),-0.118(0.34539375),1.144(6.014e-05),-0.435(0.00369648),1.362(5.485e-05),-0.511(0.00103489),-0.116(0.33513213),-0.841(1.462e-05),-1.212(1.58e-06),0.118(0.34539375),1.262(1.548e-05),-1.697(1.48e-06),0.099(0.70448299),-1.773(1.33e-06),-1.379(1.559e-05),-2.103(3.9e-07),-2.474(2.4e-07),-1.144(6.014e-05),-1.262(1.548e-05)
10,1.903(3.3e-06),0.025(0.77566425),0.388(0.00051146),-0.433(0.00010987),-0.932(6e-08),0.637(1.79e-06),0.437(0.00070975),1.931(1.93e-06),-1.903(3.3e-06),-1.877(5.01e-06),-1.515(2.864e-05),-2.335(1.03e-06),-2.834(3.1e-07),-1.266(0.00013564),-1.465(2.703e-05),0.028(0.91826752),-0.025(0.77566425),1.877(5.01e-06),0.363(0.00035115),-0.458(1.1e-05),-0.957(0),0.611(3.5e-07),0.412(0.00075236),1.905(3.06e-06),-0.388(0.00051146),1.515(2.864e-05),-0.363(0.00035115),-0.821(1e-08),-1.32(0),0.248(0.00438085),0.049(0.62455822),1.543(1.747e-05),0.433(0.00010987),2.335(1.03e-06),0.458(1.1e-05),0.821(1e-08),-0.499(3.1e-07),1.069(0),0.87(3.6e-07),2.363(6.5e-07),0.932(6e-08),2.834(3.1e-07),0.957(0),1.32(0),0.499(3.1e-07),1.568(0),1.369(1e-08),2.862(2.1e-07),-0.637(1.79e-06),1.266(0.00013564),-0.611(3.5e-07),-0.248(0.00438085),-1.069(0),-1.568(0),-0.199(0.04916232),1.294(8.544e-05),-0.437(0.00070975),1.465(2.703e-05),-0.412(0.00075236),-0.049(0.62455822),-0.87(3.6e-07),-1.369(1e-08),0.199(0.04916232),1.493(1.565e-05),-1.931(1.93e-06),-0.028(0.91826752),-1.905(3.06e-06),-1.543(1.747e-05),-2.363(6.5e-07),-2.862(2.1e-07),-1.294(8.544e-05),-1.493(1.565e-05)
11,2.353(8.97e-06),0.065(0.60600053),0.457(0.00291902),-0.407(0.00126454),-1.128(1.3e-07),0.589(0.00037348),0.537(0.00091782),2.062(7e-07),-2.353(8.97e-06),-2.287(1.023e-05),-1.895(4.702e-05),-2.76(3.73e-06),-3.48(8.3e-07),-1.763(8.552e-05),-1.816(6.621e-05),-0.29(0.384795),-0.065(0.60600053),2.287(1.023e-05),0.392(0.01025204),-0.473(0.00067619),-1.193(2.2e-07),0.524(0.00135872),0.471(0.00325165),1.997(7.9e-07),-0.457(0.00291902),1.895(4.702e-05),-0.392(0.01025204),-0.864(4.49e-06),-1.585(4e-08),0.132(0.36040672),0.08(0.58088622),1.605(6.44e-06),0.407(0.00126454),2.76(3.73e-06),0.473(0.00067619),0.864(4.49e-06),-0.72(6e-08),0.997(1.07e-06),0.944(2.27e-06),2.469(3.3e-07),1.128(1.3e-07),3.48(8.3e-07),1.193(2.2e-07),1.585(4e-08),0.72(6e-08),1.717(2e-08),1.665(3e-08),3.19(9e-08),-0.589(0.00037348),1.763(8.552e-05),-0.524(0.00135872),-0.132(0.36040672),-0.997(1.07e-06),-1.717(2e-08),-0.053(0.71602133),1.473(1.507e-05),-0.537(0.00091782),1.816(6.621e-05),-0.471(0.00325165),-0.08(0.58088622),-0.944(2.27e-06),-1.665(3e-08),0.053(0.71602133),1.525(1.05e-05),-2.062(7e-07),0.29(0.384795),-1.997(7.9e-07),-1.605(6.44e-06),-2.469(3.3e-07),-3.19(9e-08),-1.473(1.507e-05),-1.525(1.05e-05)
12,2.498(1.694e-05),0.306(0.07350868),0.331(0.04061008),-0.327(0.04448185),-1.451(4e-08),0.463(0.01423735),0.648(0.00168663),1.996(5.4e-07),-2.498(1.694e-05),-2.192(4.01e-05),-2.167(4.981e-05),-2.825(4.78e-06),-3.949(8.6e-07),-2.035(7.206e-05),-1.85(0.00016104),-0.502(0.18012588),-0.306(0.07350868),2.192(4.01e-05),0.025(0.88509308),-0.634(0.0017204),-1.758(1.3e-07),0.157(0.40603092),0.341(0.08414035),1.689(2.63e-06),-0.331(0.04061008),2.167(4.981e-05),-0.025(0.88509308),-0.658(0.00072561),-1.782(2e-08),0.132(0.45932901),0.317(0.09135429),1.665(3.26e-06),0.327(0.04448185),2.825(4.78e-06),0.634(0.0017204),0.658(0.00072561),-1.124(2.48e-06),0.79(0.00037954),0.975(5.463e-05),2.323(7e-08),1.451(4e-08),3.949(8.6e-07),1.758(1.3e-07),1.782(2e-08),1.124(2.48e-06),1.914(1.4e-07),2.099(7e-08),3.447(3e-08),-0.463(0.01423735),2.035(7.206e-05),-0.157(0.40603092),-0.132(0.45932901),-0.79(0.00037954),-1.914(1.4e-07),0.185(0.34853069),1.533(8.29e-06),-0.648(0.00168663),1.85(0.00016104),-0.341(0.08414035),-0.317(0.09135429),-0.975(5.463e-05),-2.099(7e-08),-0.185(0.34853069),1.348(3.459e-05),-1.996(5.4e-07),0.502(0.18012588),-1.689(2.63e-06),-1.665(3.26e-06),-2.323(7e-08),-3.447(3e-08),-1.533(8.29e-06),-1.348(3.459e-05)
